experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_R,stress_pips,remove_best_pips,status,reason
M2_E001,F14a,spread-state transitions,PASS,"F14a comp-cont (spr<=q10,|net30|>=3p, w/ move); screen fwd-mid h=30/60/240",10949,-0.04,,,,,REJECT,"mean ~0/neg, 3-4/8 pos years, L/S split sign-flips; sub-cost | h240={'N': 10949, 'posYR': '4/8', 'meanYR': -0.04, 'minYR': -0.891, 'maxYR': 0.93, 'Lmean': -0.51, 'Smean': 0.421} h30={'N': 60729, 'posYR': '3/8', 'meanYR': -0.008, 'minYR': -0.158, 'maxYR': 0.114, 'Lmean': -0.113, 'Smean': 0.095}"
M2_E002,F14b,spread-state transitions,PASS,"F14b exp-fade (spr>=q90,|net30|>=3p, vs move); screen fwd-mid h=30/60/240",9115,0.02,,,,,REJECT,"mean neg at 30/60; h240 L/S opposite signs; not robust | h240={'N': 9115, 'posYR': '5/8', 'meanYR': 0.02, 'minYR': -1.262, 'maxYR': 1.516, 'Lmean': 0.829, 'Smean': -0.79} h30={'N': 38409, 'posYR': '3/8', 'meanYR': -0.083, 'minYR': -0.319, 'maxYR': 0.253, 'Lmean': 0.155, 'Smean': -0.321}"
M2_E003,F15a,displacement-per-tick thin/grind,PASS,"F15a thin-fade (dpt30>=q90,|net30|>=3p, vs move); screen fwd-mid h=30/60/240",9462,-0.324,,,,,REJECT,"negative all horizons, 2/8 pos years | h240={'N': 9462, 'posYR': '2/8', 'meanYR': -0.324, 'minYR': -1.48, 'maxYR': 1.113, 'Lmean': 0.163, 'Smean': -0.815} h30={'N': 32877, 'posYR': '2/8', 'meanYR': -0.112, 'minYR': -0.364, 'maxYR': 0.197, 'Lmean': 0.182, 'Smean': -0.408}"
M2_E004,F15b,displacement-per-tick thin/grind,PASS,"F15b grind-cont (dpt30<=q10,|net30|>=3p, w/ move); screen fwd-mid h=30/60/240",253,-3.087,,,,,REJECT,"N too small (437@30m), year means -3.6..+5.1, L/S sign flips by horizon | h240={'N': 253, 'posYR': '4/8', 'meanYR': -3.087, 'minYR': -25.693, 'maxYR': 7.375, 'Lmean': -10.409, 'Smean': 1.546} h30={'N': 437, 'posYR': '4/8', 'meanYR': 0.834, 'minYR': -3.637, 'maxYR': 5.065, 'Lmean': -1.058, 'Smean': 1.754}"
M2_E005,F16a,tick-flow imbalance continuation,PASS,F16a flow-imb cont (imb15>=+0.25 L / <=-0.25 S); screen fwd-mid h=30/60/240,1115,0.391,,,,,WEAK,"h240 ~+0.6p gross 5/8yr but year dispersion -4.1..+6.6 and S>>L; backup only | h240={'N': 1115, 'posYR': '5/8', 'meanYR': 0.391, 'minYR': -4.064, 'maxYR': 6.603, 'Lmean': 0.161, 'Smean': 0.986} h30={'N': 1775, 'posYR': '3/8', 'meanYR': -0.075, 'minYR': -0.741, 'maxYR': 0.949, 'Lmean': 0.09, 'Smean': -0.403}"
M2_E006,F17a,post-spike reaction asymmetry,PASS,F17a spike shallow-retrace cont (<=1/3); screen fwd-mid h=30/60/240,5292,-1.047,,,,,REJECT,"negative all horizons (mirror of F17b win = mechanism coherent) | h240={'N': 5292, 'posYR': '3/8', 'meanYR': -1.047, 'minYR': -5.214, 'maxYR': 1.564, 'Lmean': -1.633, 'Smean': -0.354} h30={'N': 9787, 'posYR': '2/8', 'meanYR': -0.179, 'minYR': -0.669, 'maxYR': 0.279, 'Lmean': 0.236, 'Smean': -0.641}"
M2_E007,F17b,post-spike reaction asymmetry,PASS,F17b spike deep-retrace fade (>=2/3); screen fwd-mid h=30/60/240,4733,1.051,,,,,ADVANCE,"h240 both sides +, 7/8 pos years, minYR -0.36; tick-exact replay next | h240={'N': 4733, 'posYR': '7/8', 'meanYR': 1.051, 'minYR': -0.363, 'maxYR': 4.744, 'Lmean': 1.856, 'Smean': 0.189} h30={'N': 8494, 'posYR': '5/8', 'meanYR': 0.043, 'minYR': -0.658, 'maxYR': 0.494, 'Lmean': 0.439, 'Smean': -0.364}"
M2_E008,F18a,inefficient-path extreme fade,PASS,"F18a chop-extreme fade (er60<=q10, posn>=.85/<=.15); screen fwd-mid h=30/60/240",8004,-0.155,,,,,REJECT,"mean ~0, 3-5/8, decays with horizon | h240={'N': 8004, 'posYR': '3/8', 'meanYR': -0.155, 'minYR': -0.885, 'maxYR': 0.681, 'Lmean': 0.619, 'Smean': -0.879} h30={'N': 18659, 'posYR': '5/8', 'meanYR': 0.026, 'minYR': -0.249, 'maxYR': 0.321, 'Lmean': 0.021, 'Smean': 0.006}"
M2_E009,F19a,vol-crush state transition,PASS,"F19a crush-reversal (vr<=q10,|net120|>=8p, vs move); screen fwd-mid h=30/60/240",3412,-0.521,,,,,REJECT,"h240 BOTH sides negative; adverse drift either way | h240={'N': 3412, 'posYR': '2/8', 'meanYR': -0.521, 'minYR': -1.385, 'maxYR': 0.179, 'Lmean': -0.524, 'Smean': -0.553} h30={'N': 8064, 'posYR': '4/8', 'meanYR': 0.01, 'minYR': -0.343, 'maxYR': 0.309, 'Lmean': 0.171, 'Smean': -0.145}"
M2_E010,F19b,vol-crush state transition,PASS,"F19b crush-continuation (vr<=q10,|net120|>=8p, w/ move); screen fwd-mid h=30/60/240",3412,-0.521,,,,,REJECT,"h240 BOTH sides negative; same condition mirrored | h240={'N': 3412, 'posYR': '2/8', 'meanYR': -0.521, 'minYR': -1.385, 'maxYR': 0.179, 'Lmean': -0.553, 'Smean': -0.524} h30={'N': 8064, 'posYR': '4/8', 'meanYR': 0.01, 'minYR': -0.343, 'maxYR': 0.309, 'Lmean': -0.145, 'Smean': 0.171}"
