ID,NAME,CATEGORY,RATIONALE,DATA_REQUIRED,DISCOVERY_TEST,PARAMETER_BUDGET,STATUS,DISCOVERY_RESULT,V1_RESULT,V2_RESULT,REJECT_REASON,NOTES
P000,P000_VIDEO_CORE (premarket breakout+retest),session_breakout,EXTERNALLY_PREREGISTERED (video reconstruction); accumulation overnight puis cassure confirmee + retest,5m US index incl 04:00-09:30 ET (Dukascopy USA500 proxy),"Discovery screen (gross, causal, 2010-2018)",0 (regles figees par la video),TESTED_DISCOVERY,NO_RAW_EDGE_US_PROXY (h30m ~0 P=.92; instable V1/V2); NET<=0 NORMAL; ROBUST=NO,PENDING,PENDING,,"AUDIT v2: renomme P000_ORIGINAL (actions US, DATA_BLOCKED) vs P000_PROXY_SP500_CFD (NO_ROBUST_EDGE_FOUND)"
P000B,P000_VWAP variant (VWAP retest),session_breakout,variante explicitement montree dans la video,5m US index,"Discovery screen (gross, causal, 2010-2018)",0,TESTED_DISCOVERY,RAW+ Disc/V1 mais V2 negatif => NON ROBUSTE,PENDING,PENDING,,
P000C,P000_TRANSFER Asia range->London breakout+retest FX,session_breakout,transposition economiquement comparable au FX,5m FX (Dukascopy),"Discovery screen (gross, causal, 2010-2018)",0,TESTED_DISCOVERY,gross 5min < couts; net NORMAL<0 3/3; TRANSFER=NOT_PROMISING,PENDING,PENDING,,
P001,ASIA_RANGE_BREAKOUT_FIRST,session_breakout,stops overnight + flux London open (Osler); premiere cassure du range asiatique,5m FX,"Discovery screen (gross, causal, 2010-2018)",0 (def fixe),TESTED_DISCOVERY,NO_EDGE (EUR +0.28 P=.34; GBP -0.07; JPY +0.16),PENDING,PENDING,,
P002,ASIA_RANGE_RETEST_CONTINUATION,session_breakout,absorption au retest = confirmation de flux (= P000C signal familles),5m FX,= P000C,0,MERGED_INTO_P000C,,,,ne pas doubler avec P000C,
P003,FALSE_BREAKOUT_ASIA (fade),session_breakout_anti,breakout piege -> retour dans le range -> couverture des breakout traders,5m FX,"Discovery screen (gross, causal, 2010-2018)",0,TESTED_DISCOVERY,SUB_COST_INCONSISTENT (+0.41/+0.70/-0.38),PENDING,PENDING,,
P004,PREVIOUS_DAY_HL_FX,levels,saillance PDH/PDL + clustering d'ordres,5m FX,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,Old reclaim stats INVALIDATED_BY_STATE_MACHINE_BUG. FIXED: explicit NONE->BROKEN->FAILED->RECLAIMED states + tests. NEW: still mirror-inconsistent across pairs => REJECT stands,,,,cycle suivant si famille I prometteuse
P005,LONDON_FIRST_HOUR_CONTINUATION,session_breakout,premiere heure = volume max (BIS); continuation du premier move,5m FX,"Discovery screen (gross, causal, 2010-2018)",1 (seuil de filtre),TESTED_DISCOVERY,INCONSISTENT (EUR -0.97 P=.04 anti; GBP -0.63; JPY +0.15),PENDING,PENDING,,
P006,NY_OVERLAP_CONTINUATION,session_breakout,chevauchement London/NY prolonge le flux europeen,5m FX,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,REJECT: continuation +0.9..1.9 pips WR 50-51% < couts,,,,
P007,ROUND_NUMBERS_FX,levels,concentration d'ordres aux multiples de 100 pips (Osler),5m FX,"Discovery screen (gross, causal, 2010-2018)",0,TESTED_DISCOVERY,MICRO_TRACE_ONLY (fade -0.27/-0.37/-0.02) < couts,PENDING,PENDING,,
P008,VOL_SHOCK_CONTINUATION,vol_shock,choc normalise -> continuation ou reversal (mecanisme ambivalent => classe C),5m FX,"Discovery screen (gross, causal, 2010-2018)",1 (seuil 3 ATR fixe),TESTED_DISCOVERY,FADE_TRACE < couts (-0.12/-0.58/-0.31),PENDING,PENDING,,
P009,VOL_SHOCK_SECOND_ORDER,second_order,volatility clustering => variance future previsible sans direction,5m FX,"Discovery screen (gross, causal, 2010-2018)",0,TESTED_DISCOVERY,SECOND_ORDER ratio vol fwd 1.74-1.83 (3/3),N/A,N/A,"second-order, pas de V1 directionnel",
P010,LEAD_LAG_EURGBP_GBPUSD,cross_pair,ordres d'integration d'information entre paires,5m FX crosses,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,REJECT: traces sous les couts (EURGBP->GBPUSD +0.31/+0.38 pips P<=.001); residu triangulaire = artefact de feed,,,,
P011,WEEKEND_GAP_FADE_FX,session_transitions,gap du dimanche = correction d'information + spreads larges -> retour partiel,5m FX,"Discovery screen (gross, causal, 2010-2018)",1 (seuil gap),TESTED_DISCOVERY,DATA_BLOCKED: pas de session dimanche dans le feed,PENDING,PENDING,,
P012,FRIDAY_PM_DRAIN,second_order,retrait de liquidite vendredi PM => vol basse,5m FX,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P013,MONTH_END_REBALANCING,fixing_flows,flux de rebalancement fin de mois,5m FX + calendrier,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,NO_CANDIDATE (meilleur signe du cycle): USDJPY next-day +6.77 pips 7/9 ans MAIS p=0.138 CI croise 0; gate non franchi,,,,
P014,ASIA_FADE_LONDON,session_transitions,denouement asiatique a l'open London,5m FX,"Discovery screen (gross, causal, 2010-2018)",1 (seuil move),TESTED_DISCOVERY,INCONSISTENT (EUR +0.65; GBP +1.78 P=.00; JPY -0.51),PENDING,PENDING,,
P015,FIRST_5M_REVERSAL_US,intraday_us,sur-reaction a l'open US puis retour VWAP,5m US index,REGISTERED_NOT_TESTED,0,REGISTERED,,,,couvert en partie par P016,
P016,VWAP_MEAN_REVERSION_RTH,intraday_us,VWAP = reference d'execution institutionnelle -> retour des ecarts extremes,5m US index,"Discovery screen (gross, causal, 2010-2018)",1 (seuil z),TESTED_DISCOVERY,NO_EDGE/inverse (-0.098 pt P=.02),PENDING,PENDING,,
P017,PM_RANGE_SIZE_CONDITIONAL,conditional_derived,compression pre-market => follow-through; uniquement si P000 positif,5m US index,CONDITIONAL_ON_P000,1,REGISTERED,,,,pas de conditionnement d'un signal negatif,
P018,OPENING_GAP_FILL_US,intraday_us,gaps d'open partiellement combles,5m US index,"Discovery screen (gross, causal, 2010-2018)",1 (seuil gap),TESTED_DISCOVERY,NO_EDGE (-0.037 pt P=.23 N=14052),PENDING,PENDING,,
P019,LUNCH_BREAKOUT_US,intraday_us,creux de volume 12-13:30 ET,5m US index,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P020,FIX_16_LONDON_PRE_DRIFT,fixing_flows,flux benchmark WM/R 16:00 London,5m FX,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,AUDIT v3: convention corrected — boundary prices = bar OPEN at 13:00/16:00/18:00 labels (bar 16:00 close = 16:05 price). No retuning; conclusion unchanged (fade sub-cost),,,,
P021,RUNS_5M_CONTINUATION,serial_dependence,fragmentation d'ordres => runs mecaniques 5m,5m FX,"Discovery screen (gross, causal, 2010-2018)",0 (4 closes fixes),TESTED_DISCOVERY,FADE_TRACE 3/3 (continuation -0.16/-0.31/-0.18 P=.00) < couts,PENDING,PENDING,,
P022,EARLY_PM_BREAK_TREND_DAY,conditional_derivee,cassure < 30 min apres open => trend day; conditionne a P000,5m US index,CONDITIONAL_ON_P000,1,REGISTERED,,,,,
P023,TUESDAY_MOMENTUM_FX,calendar,saisonnalite jour de semaine du momentum,5m FX,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P024,ASIA_HL_MAGNET,levels,extremes asiatiques = aimants pendant la seance Europe,5m FX,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P025,CARRY_MOMENTUM_MONTHLY,carry,prime de risque carry documentee (Lustig 2011),taux mensuels FRED + dates de publication,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,OLD VERDICT INVALIDATED_BY_SIGNAL_DEFINITION_BUG. FIXED: delta = event only when differential actually changed; carry+momentum = event only when aligned. NEW: still ~0 everywhere; REJECT stands,,,revised-data risk => mission dediee,
P026,US2Y_SHOCK_USDJPY,cross_asset,transmission taux courts => USDJPY,DGS2 FRED + alignement publication,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,"AUDIT v3: lag fixed (first market day >= t+1, was skipping eligible day); d2_change stored on event. NEW: shock>=3bp h5d +8.9 pips N=586 p=0.051 (borderline, single config); h1d ~0 => INCONCLUSIVE stands",,,,
P027,GOLD_RISK_OFF_LEAD,cross_asset,XAUUSD vs JPY risk-off,XAUUSD15 (present) + JPY,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,REJECT: traces (gold->USDJPY -0.35 pip 60m P=.03; USDJPY->gold -0.03..-0.10 P<=.02),,,,
P028,ANTI_MA_CROSS_M15,anti_edge,espérance brute des croix EMA suivies par le retail potentiellement negative,15m FX repo,"Discovery screen (gross, causal, 2010-2018)",0 (5/20 fixes),TESTED_DISCOVERY,GROSS negatif INCOHERENT 3/3 => non candidat,PENDING,PENDING,inversion decidee sur Discovery uniquement,"AUDIT v2: pip corrige; gross negatif 2/3 (GBP -0.55, JPY -0.24..-0.38) mais sous les couts => non candidat"
P029,ANTI_DONCHIAN_M15,anti_edge,echec des breakouts Donchian a court horizon => gross negatif,15m FX repo,"Discovery screen (gross, causal, 2010-2018)",0 (48 fixes),TESTED_DISCOVERY,ANTI_EDGE_CANDIDATE (gross<0 3/3) => INVERSION non net-positive + JPY instable => REJECT,PENDING,PENDING,inversion decidee sur Discovery uniquement,"AUDIT v2: V1/V2 consultees PREMATUREMENT (P029_V1_V2_CONTAMINATED=YES) -> INVALID_FOR_FRESH_VALIDATION; recalcul Discovery avec pip USDJPY corrige: gross<0 3/3 (-0.5 a -1.4 pips) => REJECT final, pas de V1/V2 relancee"
P030,OVERNIGHT_TREND_CONTINUATION_US,intraday_us,prolongement du move overnight en seance,5m US index,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P031,LONDON_LUNCH_FADE,session_transitions,creux de liquidite 11:00 UTC,5m FX,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P032,POST_FOMC_DRIFT,macro_event,drift post-decision FOMC documente,dates+heures FOMC historiques,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,"AUDIT v3: DST honored (EST/EDT offsets) + entry = first bar OPEN at/after release (was close of reaction bar). N=24, PERIOD 2016-2018 (exact times only exist from 2016). NEW: |initial move| 29-33 pips/30min; continuation 30m->2h +8.6/+3.4/+11.1 pips (EURUSD/USDJPY/GBPUSD) — underpowered, INCONCLUSIVE stands",,,WHAT_DATA=calendrier FOMC avec heures de communique; WHY=alignement causal exact requis; FREE_SOURCE_OPTIONS=Federal Reserve press releases archive; EXPECTED_VALUE=moyen,
P033,SPIKE_REVERSAL_NEWS,vol_shock,retour partiel apres spike extreme 5m,5m FX,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P034,RANGE_CONTRACTION_EXPANSION,second_order,compression => expansion (sizing breakout),H1 FX,"Phase2 Discovery screen (causal, 2010-2018, gate.py)",0,TESTED_DISCOVERY,"OLD RESULT INVALIDATED_BY_FORWARD_RANGE_IMPLEMENTATION_BUG (shift(-144) measured ONE bar 12h later). FIXED: true rolling future 12h window. NEW: EURUSD ratio 1.12-1.13, USDJPY 0.94-0.95 vs baseline => no robust expansion. SECOND_ORDER_CANDIDATE=NO",,,,
P035,VOL_BY_DAY_OF_WEEK,second_order,profil de volatilite par jour (sizing),5m FX,"Discovery screen (gross, causal, 2010-2018)",0,TESTED_DISCOVERY,"SECOND_ORDER: pic jeudi, lundi bas (3/3)",N/A,N/A,second-order,
P036,FAILED_P000_NEXT_DAY,conditional_derivee,jour suivant le sens oppose apres echec P000; conditionne a P000,5m US index,CONDITIONAL_ON_P000,0,REGISTERED,,,,,
P037,EURJPY_CROSS_LEAD,cross_pair,lead-lag via crosses carry,5m crosses (non telecharges),REGISTERED_DATA_BLOCKED,0,REGISTERED,,,,,
P038,OPEN_DRIVE_VWAP_ALIGN,conditional_derivee,setup VWAP de la video = P000B direct,5m US index,MERGED_INTO_P000B,0,MERGED_INTO_P000B,,,,,
P039,VOL_EXTREME_CLUSTERS_US,rare_events,evenements rares quasi-halt,5m US index,REGISTERED_NOT_TESTED,0,REGISTERED,,,,,
P040,SESSION_CLOSE_MOC_REVERSAL_US,intraday_us,flux MOC fin de seance => retour overnight,5m US index overnight,REGISTERED_SCOPE,0,REGISTERED,,,,hors cadre intraday du cycle,
P013R,MONTH_END_JPY_CROSS_REPLICATION,calendar_flows (derived),"DERIVED_PREREGISTERED, parent P013. Observation parente (USDJPY, Discovery 2010-2018): dernier jour ouvre du mois -> jour suivant, +6.77 pips vs jours normaux, 7/9 annees, p=0.138. Replication cross-market PRE-ENREGISTREE : regle exacte figee AVANT tout calcul — dernier jour FX ouvre du mois, LONG XJPY, entree au close daily (definition P013 existante), sortie au close du jour de marche suivant, cout NORMAL 2 pips, memes annees Discovery, meme bootstrap (2000, seed 42). Paires testees exactement: USDJPY, EURJPY, GBPJPY. AUCUN autre parametre (pas 2-3 jours, pas de short, pas de filtre, pas de selection d annees). Reste DISCOVERY — V1 non ouverte.",5m Dukascopy USDJPY/EURJPY/GBPJPY -> closes daily,replication pre-enregistree (Discovery 2010-2018),0 (regle figee avant calcul),TESTED_DISCOVERY_REPLICATION,"REPLICATION RESULTS (rule preregistered, computed after registration): USDJPY N=107 GROSS +9.78 NET +7.78 p=0.066 7/9y; EURJPY N=107 GROSS +15.06 NET +13.06 p=0.041 CI[+0.86,+28.93] 7/9y; GBPJPY N=107 GROSS +2.06 p=0.851; POOLED equal-weight +8.97 gross / +6.97 net, p=0.053, 3/3 pairs positive. DISCOVERY CANDIDATE=YES; V1 NOT opened (preserved for human review)",LOCKED,LOCKED,,V1/V2 preservees pour revue humaine — acces interdit cette mission
